lat,lat_scaled
3.370369999999999777e+01,-1.677050983124919181e+00
3.372482000000000113e+01,-1.565247584249912061e+00
3.374593999999999738e+01,-1.453444185374942466e+00
3.376706000000000074e+01,-1.341640786499935345e+00
3.378817999999999699e+01,-1.229837387624965972e+00
3.380930000000000035e+01,-1.118033988749958629e+00
3.383041999999999661e+01,-1.006230589874989256e+00
3.385153999999999996e+01,-8.944271909999820247e-01
3.387266000000000332e+01,-7.826237921249749041e-01
3.389377999999999957e+01,-6.708203932500053090e-01
3.391490000000000293e+01,-5.590169943749981885e-01
3.393601999999999919e+01,-4.472135955000286489e-01
3.395714000000000254e+01,-3.354101966250214728e-01
3.397825999999999880e+01,-2.236067977500519333e-01
3.399938000000000216e+01,-1.118033988750447710e-01
3.402049999999999841e+01,-7.522830767415971591e-14
3.404162000000000177e+01,1.118033988749319307e-01
3.406273999999999802e+01,2.236067977499014703e-01
3.408386000000000138e+01,3.354101966249086186e-01
3.410497999999999763e+01,4.472135954998781582e-01
3.412610000000000099e+01,5.590169943748852788e-01
3.414721999999999724e+01,6.708203932498548738e-01
3.416834000000000060e+01,7.826237921248619944e-01
3.418945999999999685e+01,8.944271909998315895e-01
3.421058000000000021e+01,1.006230589874838710e+00
3.423169999999999646e+01,1.118033988749808305e+00
3.425281999999999982e+01,1.229837387624815426e+00
3.427394000000000318e+01,1.341640786499822546e+00
3.429505999999999943e+01,1.453444185374792141e+00
3.431618000000000279e+01,1.565247584249799262e+00
3.433729999999999905e+01,1.677050983124768857e+00
