lon,lon_scaled
-1.186681999999999988e+02,-1.677050984443294368e+00
-1.186511033299999980e+02,-1.565247563682119036e+00
-1.186340066700000051e+02,-1.453444208315847863e+00
-1.186169100000000043e+02,-1.341640787554672754e+00
-1.185998133300000035e+02,-1.229837366793497422e+00
-1.185827166699999964e+02,-1.118034011427133212e+00
-1.185656199999999956e+02,-1.006230590665958102e+00
-1.185485233299999948e+02,-8.944271699047827706e-01
-1.185314266700000019e+02,-7.826238145385115974e-01
-1.185143300000000011e+02,-6.708203937773363768e-01
-1.184972333300000003e+02,-5.590169730161610451e-01
-1.184801366699999932e+02,-4.472136176497969462e-01
-1.184630400000000066e+02,-3.354101968887146512e-01
-1.184459433300000057e+02,-2.236067761275393750e-01
-1.184288466699999987e+02,-1.118034207611752623e-01
-1.184117499999999978e+02,0.000000000000000000e+00
-1.183946533299999970e+02,1.118034207611752623e-01
-1.183775566700000041e+02,2.236067761274464494e-01
-1.183604600000000033e+02,3.354101968886217255e-01
-1.183433633300000025e+02,4.472136176497969462e-01
-1.183262666699999954e+02,5.590169730161610451e-01
-1.183091699999999946e+02,6.708203937773363768e-01
-1.182920733299999938e+02,7.826238145385115974e-01
-1.182749766700000009e+02,8.944271699047827706e-01
-1.182578800000000001e+02,1.006230590665958102e+00
-1.182407833299999993e+02,1.118034011427133212e+00
-1.182236866700000064e+02,1.229837366793404385e+00
-1.182065900000000056e+02,1.341640787554579717e+00
-1.181894933300000048e+02,1.453444208315755048e+00
-1.181723966699999977e+02,1.565247563682119036e+00
-1.181552999999999969e+02,1.677050984443294368e+00
